Id,1. ¿De dónde nos visitas?,1.1 ¿De qué municipio del estado de Hidalgo perteneces?,2. ¿En qué rango de edad te encuentras?,"3. ¿Con qué género te identificas?
","4. ¿Con qué frecuencia realizas viajes dentro de México?
","5. ¿Cuántas veces ha visitado alguno de los destinos turísticos de Hidalgo en los últimos 24 meses?
","6. ¿Qué tanto te motiva principalmente a viajar los siguientes aspectos?
","6. ¿Qué tanto te motiva principalmente a viajar los siguientes aspectos?
 (Otro)",7. Los medios donde buscas inspiración para elegir destinos en Hidalgo.,7. Los medios donde buscas inspiración para elegir destinos en Hidalgo. (Otro),8. En cuanto a la confianza y uso de las tecnologías indica tu nivel en que estas de acuerdo con las siguientes frases:,8. En cuanto a la confianza y uso de las tecnologías indica tu nivel en que estas de acuerdo con las siguientes frases: (Otro),9. ¿Qué factor influye más en tu decisión de seguir una recomendación turística?,9. ¿Qué factor influye más en tu decisión de seguir una recomendación turística? (Otro),"10. En una escala del 1 al 5 donde 1 es Nada valioso y 5 es Muy valioso ¿Cómo sería para ti que una app turística te recomiende comercios y experiencias locales auténticas?
","11. De una escala del 1 al 5 donde 1 es Totalmente en desacuerdo y 5 es Totalmente de acuerdo. Indica que tanto estás de acuerdo con la siguiente frase:  ""Me sentiría más confiado/a usando una app turística si sé que las recomendaciones están validadas por personas locales o por una institución oficial.”
",12. ¿Qué tipo de información consideras más importante?,12. ¿Qué tipo de información consideras más importante? (Otro),13. ¿Con qué frecuencia has enfrentado los siguientes problemas al viajar?,13. ¿Con qué frecuencia has enfrentado los siguientes problemas al viajar? (Otro),"14. En una escala del 1 al 5,  donde 1 es nada probable y 5 muy probable. ¿Qué tan probable es que uses una app oficial del estado de Hidalgo para planear y vivir tus viajes?
",15. ¿Qué funciones consideras indispensables en una app de viajes?,15. ¿Qué funciones consideras indispensables en una app de viajes? (Otro),16. ¿Qué haría que dejaras de usar una app turística? (Selecciona 3 opciones),"17. En una frase, ¿qué esperas de una app turística ideal para viajar en Hidalgo?
","17. En una frase, ¿qué esperas de una app turística ideal para viajar en Hidalgo?
 (Otro)"
258,Hidalgo,Atlapexco,40–49 años,Hombre,Esporádicamente,3 veces,Descanso / relajación,,Recomendaciones de amigos / familia,,La información suele ser clara y actualizada,,Fotos reales,,5,4,Horarios actualizados,,Información desactualizada,,5,Eventos y experiencias locales,,Mala experiencia de uso,Que cuente con precios,
259,Ciudad de México,,30–39 años,Hombre,Esporádicamente,3 veces,Cultura / Historia,,Apps de viaje,,Confío en sus recomendaciones,,Que se trate de una plataforma oficial,,4,4,Horarios actualizados,,Poca visibilidad de comercios locales,,4,Recomendaciones locales confiables,,"Información falsa o incompleta, Falta de valor real, Exceso de publicidad",Que tenga buenas precios,
260,Ciudad de México,,60 años o más,Mujer,Varias veces al año,4 veces o más,Viaje Familiar,,Redes sociales,,Me ayudan a ahorrar tiempo,,Fotos reales,,5,5,Mapas y rutas,,Recomendaciones poco confiables,,4,Recomendaciones locales confiables,,"Exceso de publicidad, Mala experiencia de uso, Falta de valor real",Que sea verídica y actualizada,
261,Ciudad de México,,40–49 años,Hombre,Varias veces al año,4 veces o más,Aventura,,Redes sociales,,,,Fotos reales,,5,5,Seguridad,,Falta de información en el momento exacto,,5,Información verificada,,"No confiar en las recomendaciones, Falta de valor real",Que este actualizado,
262,Estado de México,,40–49 años,Hombre,Varias veces al año,3 veces,Gastronomía,,Redes sociales,,Me ayudan a ahorrar tiempo,,Fotos reales,,5,5,Seguridad,,Información desactualizada,,4,Eventos y experiencias locales,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Que tenga aventuras y leyendas,
263,Ciudad de México,,18–29 años,Hombre,Varias veces al año,3 veces,Naturaleza,,Redes sociales,,Confío en sus recomendaciones,,Precio,,3,4,Mapas y rutas,,Demasiadas opciones sin guía,,5,Eventos y experiencias locales,,"Falta de valor real, Exceso de publicidad, Información falsa o incompleta",Que tenga buenas recomendaciones ,
264,Ciudad de México,,40–49 años,Hombre,Una vez al año,3 veces,Cultura / Historia,,Recomendaciones de amigos / familia,,La información suele ser clara y actualizada,,Precio,,5,5,Horarios actualizados,,Información desactualizada,,4,Recomendaciones locales confiables,,"Mala experiencia de uso, Información falsa o incompleta, Exceso de publicidad",Que ofrezca los nejores precios,
265,Ciudad de México,,18–29 años,Mujer,Muy rara vez,3 veces,Aventura,,Redes sociales,,Me ayudan a ahorrar tiempo,,Fotos reales,,5,5,Horarios actualizados,,Demasiadas opciones sin guía,,4,Información verificada,,Información falsa o incompleta,Que contenga fotos y las atracciones como también horarios ,
266,Ciudad de México,,18–29 años,Hombre,Varias veces al año,3 veces,Naturaleza,,Redes sociales,,,,Fotos reales,,4,4,Mapas y rutas,,Información desactualizada,,4,Información verificada,,"Mala experiencia de uso, Exceso de publicidad, Información falsa o incompleta",Que tenga buenas recomendaciones ,
267,Ciudad de México,,40–49 años,Hombre,Varias veces al año,2 veces,Naturaleza,,Redes sociales,,La información suele ser clara y actualizada,,Recomendación local,,4,4,Información offline,,Información desactualizada,,3,Información verificada,,"Exceso de publicidad, Falta de valor real, Información falsa o incompleta",Que tenga las recomendaciones locales y los precios,
268,Estado de México,,18–29 años,Mujer,Esporádicamente,3 veces,Naturaleza,,Redes sociales,,Me generan seguridad para tomar decisiones,,Fotos reales,,4,5,Mapas y rutas,,Recomendaciones poco confiables,,4,Información verificada,,"Exceso de publicidad, Información falsa o incompleta, No confiar en las recomendaciones",Que contenga horarios y los eventos que habra,
269,Estado de México,,30–39 años,Hombre,Esporádicamente,3 veces,Naturaleza,,Apps de viaje,,Me ayudan a ahorrar tiempo,,Precio,,4,4,Horarios actualizados,,Recomendaciones poco confiables,,4,Rutas sugeridas,,"Mala experiencia de uso, Exceso de publicidad, Falta de valor real",Que tenga fotos y comentarios y horarios actualizados ,
270,Hidalgo,Actopan,40–49 años,Hombre,Esporádicamente,3 veces,Cultura / Historia,,Recomendaciones de amigos / familia,,Confío en sus recomendaciones,,Recomendación local,,5,4,Seguridad,,Demasiadas opciones sin guía,,4,Comercios y servicios cercanos,,"Mala experiencia de uso, Información falsa o incompleta, Falta de valor real",Que tenga buenas recomendaciones y precios ,
271,Estado de México,,60 años o más,Mujer,Varias veces al año,4 veces o más,Cultura / Historia,,Recomendaciones de amigos / familia,,Confío en sus recomendaciones,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Poca visibilidad de comercios locales,,5,Información verificada,,"Exceso de publicidad, Falta de valor real, Información falsa o incompleta",Que tenga fitos reales y buenas recomendaciones ,
272,Hidalgo,Huasca de Ocampo,18–29 años,Hombre,Varias veces al año,4 veces o más,Aventura,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Horarios actualizados,,Recomendaciones poco confiables,,4,Rutas sugeridas,,"Mala experiencia de uso, Exceso de publicidad, Información falsa o incompleta",Que se actualice seguidamente,
273,Ciudad de México,,40–49 años,Mujer,Esporádicamente,3 veces,Naturaleza,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Precio,,4,4,Horarios actualizados,,Recomendaciones poco confiables,,5,Rutas sugeridas,,"Falta de valor real, Exceso de publicidad, Información falsa o incompleta",Que sirva,
274,Estado de México,,30–39 años,Hombre,Esporádicamente,3 veces,Viaje Familiar,,Redes sociales,,Me ayudan a ahorrar tiempo,,Fotos reales,,5,5,Mapas y rutas,,Recomendaciones poco confiables,,4,Información verificada,,"Mala experiencia de uso, Exceso de publicidad",Que tenga fotos información actualizada ,
275,Hidalgo,Atotonilco de Tula,30–39 años,Mujer,Muy rara vez,3 veces,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Seguridad,,Falta de información en el momento exacto,,5,Rutas sugeridas,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Su seguridad ante todo por la tranquilidad de uno ,
276,Estado de México,,40–49 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,,Redes sociales,,La información suele ser clara y actualizada,,Fotos reales,,5,5,Seguridad,,Poca visibilidad de comercios locales,,5,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Que sea clara ,
277,Hidalgo,Mineral de la Reforma,18–29 años,Mujer,Esporádicamente,4 veces o más,Naturaleza,,Redes sociales,,Me generan seguridad para tomar decisiones,,Precio,,3,3,Seguridad,,Poca visibilidad de comercios locales,,1,Otro: Precios,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Que maneje información completa y de fiar ,
278,Hidalgo,Epazoyucan,18–29 años,Hombre,Varias veces al año,4 veces o más,Aventura,,Blogs o influencers,,La información suele ser clara y actualizada,,Que se trate de una plataforma oficial,,5,5,Información offline,,Recomendaciones poco confiables,,5,Información verificada,,"Información falsa o incompleta, Falta de valor real, No confiar en las recomendaciones",Mayor oferta turística y mejor información en general ,
279,Hidalgo,Zapotlán de Juárez,18–29 años,Mujer,Varias veces al año,4 veces o más,Descanso / relajación,,Google,,La información suele ser clara y actualizada,,Precio,,5,5,Horarios actualizados,,Falta de información en el momento exacto,,5,Información verificada,,"Exceso de publicidad, Falta de valor real, No confiar en las recomendaciones","Ampliar el padrón turístico en general, y competitiva la oferta en varios giros turísticos ",
280,Estado de México,,40–49 años,Hombre,Muy rara vez,3 veces,Gastronomía,,Páginas oficiales de turismo,,La información suele ser clara y actualizada,,Precio,,4,3,Seguridad,,Falta de información en el momento exacto,,4,Rutas sugeridas,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real","Claridad y confianza
",
281,Estado de México,,40–49 años,Hombre,Esporádicamente,2 veces,Gastronomía,,Recomendaciones de amigos / familia,,Confío en sus recomendaciones,,Precio,,4,3,Mapas y rutas,,Información desactualizada,,4,Información verificada,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Confianza,
282,Hidalgo,Ajacuba,40–49 años,Hombre,Varias veces al año,2 veces,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Fotos reales,,4,4,Mapas y rutas,,Información desactualizada,,4,Recomendaciones locales confiables,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Confianza ,
283,Estado de México,,30–39 años,Mujer,Esporádicamente,4 veces o más,Descanso / relajación,,Redes sociales,,La información suele ser clara y actualizada,,Precio,,4,3,Seguridad,,Demasiadas opciones sin guía,,4,Información verificada,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Seguridad,
284,Ciudad de México,,18–29 años,Hombre,Esporádicamente,3 veces,Viaje Familiar,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Fotos reales,,4,4,Recomendaciones cercanas,,Demasiadas opciones sin guía,,4,Información verificada,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",,
285,Hidalgo,Tlahuelilpan,30–39 años,Hombre,Esporádicamente,3 veces,Descanso / relajación,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Precio,,4,4,Mapas y rutas,,Demasiadas opciones sin guía,,4,Rutas sugeridas,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Confianza,
286,Hidalgo,Francisco I. Madero,30–39 años,Mujer,Muy rara vez,3 veces,Descanso / relajación,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Precio,,4,4,Mapas y rutas,,Recomendaciones poco confiables,,4,Información verificada,,"Exceso de publicidad, Información falsa o incompleta, Falta de valor real",Seguridad,
287,Estado de México,,18–29 años,,Esporádicamente,2 veces,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Precio,,4,4,Mapas y rutas,,Información desactualizada,,4,Recomendaciones locales confiables,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Claridad ,
288,Hidalgo,Tepeji del Río de Ocampo,30–39 años,Hombre,Esporádicamente,3 veces,Descanso / relajación,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Precio,,4,4,Mapas y rutas,,Información desactualizada,,4,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Confianza,
289,Ciudad de México,,18–29 años,Hombre,Esporádicamente,2 veces,Descanso / relajación,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Precio,,4,3,Mapas y rutas,,Información desactualizada,,4,Rutas sugeridas,,"Información falsa o incompleta, Falta de valor real, Mala experiencia de uso",Claridad,
290,Ciudad de México,,30–39 años,Mujer,Esporádicamente,3 veces,Gastronomía,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Precio,,3,4,Mapas y rutas,,Información desactualizada,,4,Recomendaciones locales confiables,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Claridad,
291,Hidalgo,Tlaxcoapan,18–29 años,Hombre,Varias veces al año,1 vez,Descanso / relajación,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Precio,,4,4,Mapas y rutas,,Recomendaciones poco confiables,,4,Rutas sugeridas,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Seguridad,
292,Hidalgo,Tula de Allende,60 años o más,Mujer,Varias veces al año,4 veces o más,Gastronomía,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Cercanía / ubicación,,3,4,Mapas y rutas,,Información desactualizada,,4,Rutas sugeridas,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Seguridad,
293,Hidalgo,Tlahuelilpan,30–39 años,Hombre,Esporádicamente,2 veces,Gastronomía,,Redes sociales,,Me ayudan a ahorrar tiempo,,Precio,,3,4,Mapas y rutas,,Información desactualizada,,4,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Confianza,
294,Ciudad de México,,18–29 años,Hombre,Una vez al año,2 veces,Descanso / relajación,,Redes sociales,,Confío en sus recomendaciones,,Cercanía / ubicación,,,,Recomendaciones cercanas,,Recomendaciones poco confiables,,4,Recomendaciones locales confiables,,Información falsa o incompleta,Segura,
295,Hidalgo,Tula de Allende,40–49 años,Hombre,Esporádicamente,3 veces,Viaje Familiar,,Páginas oficiales de turismo,,Me ayudan a ahorrar tiempo,,Recomendación local,,4,3,Mapas y rutas,,Información desactualizada,,4,Recomendaciones locales confiables,,"Información falsa o incompleta, Mala experiencia de uso, Exceso de publicidad",Seguridad ,
296,Hidalgo,Tula de Allende,50–59 años,Mujer,Muy rara vez,1 vez,Viaje Familiar,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,4,3,Mapas y rutas,,Información desactualizada,,3,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Confianza,
297,Hidalgo,Tula de Allende,60 años o más,Mujer,Muy rara vez,3 veces,Viaje Familiar,,Recomendaciones de amigos / familia,,,,Cercanía / ubicación,,3,4,Mapas y rutas,,Recomendaciones poco confiables,,3,Recomendaciones locales confiables,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Confianza,
298,Hidalgo,Tula de Allende,40–49 años,Mujer,Muy rara vez,1 vez,Viaje Familiar,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,4,4,Mapas y rutas,,Información desactualizada,,4,Rutas sugeridas,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Seguridad,
299,Hidalgo,Atotonilco de Tula,30–39 años,,Varias veces al año,2 veces,Viaje Familiar,,Google,,Me ayudan a ahorrar tiempo,,Recomendación local,,4,4,Mapas y rutas,,Información desactualizada,,4,Información verificada,,"Información falsa o incompleta, Mala experiencia de uso, Exceso de publicidad",Confianza,
300,Hidalgo,Tula de Allende,30–39 años,Hombre,Una vez al año,2 veces,Naturaleza,,Redes sociales,,Me ayudan a ahorrar tiempo,,Recomendación local,,4,4,Mapas y rutas,,Información desactualizada,,4,Rutas sugeridas,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Seguridad,
301,Oaxaca,,18–29 años,Mujer,Muy rara vez,4 veces o más,Viaje Familiar,,Redes sociales,,Me ayudan a ahorrar tiempo,,Recomendación local,,4,4,Mapas y rutas,,Información desactualizada,,4,Rutas sugeridas,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Confianza,
302,Hidalgo,Chapantongo,40–49 años,Hombre,Muy rara vez,1 vez,Viaje Familiar,,Redes sociales,,Me ayudan a ahorrar tiempo,,Cercanía / ubicación,,4,4,Mapas y rutas,,Recomendaciones poco confiables,,4,Rutas sugeridas,,"Información falsa o incompleta, Falta de valor real, Mala experiencia de uso",Confianza,
303,Estado de México,,40–49 años,Mujer,Una vez al año,3 veces,Descanso / relajación,,Recomendaciones de amigos / familia,,La información suele ser clara y actualizada,,Cercanía / ubicación,,3,2,Eventos o actividades del día,,Información desactualizada,,3,Información verificada,,Exceso de publicidad,Confiable  y seguridad ,
304,Hidalgo,Tula de Allende,30–39 años,Mujer,Una vez al año,1 vez,Viaje Familiar,,Redes sociales,,La información suele ser clara y actualizada,,Precio,,3,3,,,Recomendaciones poco confiables,,3,Información verificada,,Mala experiencia de uso,Segura,
305,Estado de México,,30–39 años,Mujer,Una vez al año,3 veces,Naturaleza,,Redes sociales,,La información suele ser clara y actualizada,,Cercanía / ubicación,,3,4,Seguridad,,Recomendaciones poco confiables,,3,Comercios y servicios cercanos,,Mala experiencia de uso,Seguridad ,
306,Hidalgo,Atotonilco de Tula,40–49 años,Hombre,Varias veces al año,4 veces o más,Naturaleza,,Recomendaciones de amigos / familia,,Confío en sus recomendaciones,,Cercanía / ubicación,,3,2,Seguridad,,Recomendaciones poco confiables,,3,Información verificada,,Exceso de publicidad,Confianza  de recomendación ,
307,Hidalgo,Tula de Allende,40–49 años,Mujer,Varias veces al año,4 veces o más,Naturaleza,,Redes sociales,,La información suele ser clara y actualizada,,Precio,,4,3,Seguridad,,Demasiadas opciones sin guía,,3,Información verificada,,Información falsa o incompleta,Confiable ,
308,Hidalgo,Tlahuelilpan,50–59 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,,Recomendaciones de amigos / familia,,Confío en sus recomendaciones,,Opiniones de otros usuarios,,3,3,Seguridad,,Información desactualizada,,3,Información verificada,,Mala experiencia de uso,Práctica  para adultos ,
